dataset,method,n,correct,accuracy,avg_total_tokens,avg_prompt_tokens,avg_completion_tokens
addsub,Single Agent R1-A,200,194,0.97,345.36499999999984,308.28,37.085
addsub,MV@Round1,200,196,0.98,1036.095,924.84,111.255
addsub,MV@Round3,200,191,0.955,4170.25,3766.455,403.795
addsub,MV@Round5,200,192,0.96,7300.015,6607.38,692.635
addsub,SCRD Last-Round MV,200,196,0.98,,,
asdiv,Single Agent R1-A,200,176,0.88,336.8100000000002,299.855,36.95499999999998
asdiv,MV@Round1,200,178,0.89,1010.43,899.565,110.865
asdiv,MV@Round3,200,172,0.86,4056.465,3671.355,385.11
asdiv,MV@Round5,200,170,0.85,7103.56,6443.22,660.34
asdiv,SCRD Last-Round MV,200,174,0.87,,,
gsm8k,Single Agent R1-A,200,93,0.465,379.68666666666655,330.495,49.19166666666668
gsm8k,MV@Round1,200,96,0.48,1139.06,991.485,147.575
gsm8k,MV@Round3,200,59,0.295,4550.5,3953.25,597.25
gsm8k,MV@Round5,200,62,0.31,7955.445,6918.545,1036.9
gsm8k,SCRD Last-Round MV,200,114,0.57,,,
math,Single Agent R1-A,200,79,0.395,378.9783333333334,331.43,47.54833333333332
math,MV@Round1,200,79,0.395,1136.935,994.29,142.645
math,MV@Round3,200,68,0.34,4486.385,3950.79,535.595
math,MV@Round5,200,68,0.34,7829.445,6907.785,921.66
math,SCRD Last-Round MV,198,110,0.5555555555555556,,,
multiarith,Single Agent R1-A,200,147,0.735,349.17499999999984,309.75,39.42500000000001
multiarith,MV@Round1,200,150,0.75,1047.525,929.25,118.275
multiarith,MV@Round3,200,124,0.62,4192.575,3756.885,435.69
multiarith,MV@Round5,200,116,0.58,7340.885,6584.49,756.395
multiarith,SCRD Last-Round MV,200,178,0.89,,,
singleeq,Single Agent R1-A,200,192,0.96,338.9516666666666,300.915,38.03666666666667
singleeq,MV@Round1,200,192,0.96,1016.855,902.745,114.11
singleeq,MV@Round3,200,187,0.935,4067.135,3678.57,388.565
singleeq,MV@Round5,200,182,0.91,7119.345,6454.47,664.875
singleeq,SCRD Last-Round MV,200,193,0.965,,,
svamp,Single Agent R1-A,200,161,0.805,351.06000000000006,310.22,40.83999999999999
svamp,MV@Round1,200,163,0.815,1053.18,930.66,122.52
svamp,MV@Round3,200,148,0.74,4206.7,3760.905,445.795
svamp,MV@Round5,200,151,0.755,7359.04,6590.97,768.07
svamp,SCRD Last-Round MV,200,175,0.875,,,
