sample_id,gold_answer,stop_reason,round3_vote_answer,round3_vote_correct,scrd_final_answer,scrd_correct,outcome_vs_round3_vote,round3_vote_total_tokens,scrd_total_tokens
strategyqa_0001,true,early_stop,false,False,false,False,both_wrong,9571,9571
strategyqa_0002,true,early_stop,true,True,true,True,both_correct,9323,9323
strategyqa_0006,true,rollback,true,True,false,False,degraded,12066,16203
strategyqa_0010,true,early_stop,true,True,true,True,both_correct,6713,12104
strategyqa_0013,true,early_stop,true,True,true,True,both_correct,6879,6879
strategyqa_0014,true,early_stop,true,True,true,True,both_correct,7260,13060
strategyqa_0015,true,early_stop,true,True,true,True,both_correct,6802,6802
strategyqa_0019,true,early_stop,true,True,true,True,both_correct,6819,6819
strategyqa_0024,true,rollback,false,False,false,False,both_wrong,14212,14967
strategyqa_0026,true,rollback,false,False,false,False,both_wrong,14096,14935
strategyqa_0028,true,early_stop,true,True,true,True,both_correct,9452,9452
strategyqa_0037,true,early_stop,false,False,false,False,both_wrong,9712,9712
strategyqa_0049,true,early_stop,true,True,true,True,both_correct,6958,12573
strategyqa_0050,true,early_stop,true,True,true,True,both_correct,7138,7138
strategyqa_0052,true,early_stop,true,True,true,True,both_correct,6864,12383
strategyqa_0057,true,rollback,false,False,false,False,both_wrong,13750,14601
strategyqa_0077,true,rollback,false,False,false,False,both_wrong,12948,13846
strategyqa_0087,true,rollback,true,True,true,True,both_correct,12415,12977
strategyqa_0088,true,rollback,true,True,true,True,both_correct,10135,10661
strategyqa_0106,true,rollback,false,False,false,False,both_wrong,13050,13942
strategyqa_0117,true,rollback,true,True,true,True,both_correct,7648,21182
strategyqa_0126,true,early_stop,false,False,false,False,both_wrong,9667,9667
strategyqa_0127,true,rollback,false,False,false,False,both_wrong,13047,13753
strategyqa_0136,true,early_stop,true,True,true,True,both_correct,10153,15949
strategyqa_0147,false,rollback,false,True,false,True,both_correct,13215,13957
strategyqa_0161,true,rollback,false,False,false,False,both_wrong,9031,17478
strategyqa_0162,true,early_stop,true,True,true,True,both_correct,9386,9386
strategyqa_0163,false,rollback,false,True,false,True,both_correct,11582,12224
strategyqa_0168,true,early_stop,true,True,true,True,both_correct,6983,12752
strategyqa_0172,true,early_stop,true,True,true,True,both_correct,7011,7011
strategyqa_0175,true,early_stop,false,False,false,False,both_wrong,9085,12017
strategyqa_0176,true,early_stop,true,True,true,True,both_correct,10072,10072
