dataset,stop_reason,n,scrd_acc,avg_scrd_tokens,avg_effective_rounds,avg_actual_rounds,scrd_acc_pct
addsub,early_stop,80,1.0,6569.1625,2.475,2.475,100.0
asdiv,early_stop,75,0.9733333333333334,6786.52,2.5866666666666664,2.5866666666666664,97.33
asdiv,rollback,5,0.2,14876.6,3.0,4.0,20.0
gsm8k,early_stop,58,0.6896551724137931,7050.620689655172,2.3448275862068964,2.3448275862068964,68.97
gsm8k,rollback,22,0.36363636363636365,15525.863636363636,3.0454545454545454,4.045454545454546,36.36
math,early_stop,58,0.6724137931034483,7578.310344827586,2.396551724137931,2.396551724137931,67.24
math,rollback,22,0.36363636363636365,16668.68181818182,3.1363636363636362,4.136363636363637,36.36
multiarith,early_stop,70,0.9714285714285714,5687.228571428572,2.1142857142857143,2.1142857142857143,97.14
multiarith,rollback,10,0.9,11477.8,2.5,3.5,90.0
singleeq,early_stop,74,0.9864864864864865,7071.256756756757,2.6216216216216215,2.6216216216216215,98.65
singleeq,rollback,6,0.6666666666666666,12902.0,2.6666666666666665,3.6666666666666665,66.67
svamp,early_stop,69,0.9420289855072463,5984.63768115942,2.2318840579710146,2.2318840579710146,94.2
svamp,rollback,11,0.09090909090909091,14056.181818181818,2.909090909090909,3.909090909090909,9.09
